,reservoir,order,yearmonth,density_cells/ml,m_avg_deep_temp,m_avg_surf_temp,m_avg_dissolved_oxygen,temperature,precipitation_sum,daylight_duration,type,stratification,latitude,longitude,temp_diff
289,CBR,Nostocales,200607,676.87575,22.650000000000002,26.46666666666667,0.10071428571428571,23.874193548387098,2.8451612903225807,52839.080322580645,Ag,None,39.9485,-83.7459,3.8166666666666664
290,CBR,Nostocales,200707,7110.969347166982,22.88235294117647,25.433333333333334,2.334705882352941,22.138709677419353,1.8225806451612903,52858.21,Ag,None,39.9485,-83.7459,2.5509803921568626
291,CBR,Nostocales,200808,7195.4430683044,24.079310344827583,25.375,0.4327586206896552,23.15806451612903,1.0258064516129033,49257.15709677419,Ag,None,39.9485,-83.7459,1.295689655172417
292,CBR,Nostocales,201308,1151022.2321006428,22.166666666666668,23.9,0.29,21.9741935483871,1.6516129032258065,49284.25548387096,Ag,None,39.9485,-83.7459,1.7333333333333307
293,CBR,Nostocales,201409,673065.7397872289,21.775,24.4,0.3375,18.253333333333334,1.3766666666666665,44787.05,Ag,None,39.9485,-83.7459,2.625
294,CBR,Nostocales,201507,13021.310564805282,21.575,24.95,0.3125,22.177419354838708,3.3483870967741933,52850.25193548387,Ag,None,39.9485,-83.7459,3.375
295,CBR,Nostocales,201706,279948.064550635,20.11181818181818,22.72,0.9900000000000001,20.953333333333333,3.4166666666666665,53858.325,Ag,None,39.9485,-83.7459,2.6081818181818193
296,CBR,Nostocales,201806,132512.21084776794,21.33818181818182,27.38375,1.8863636363636365,22.05666666666667,6.613333333333333,53854.67366666666,Ag,None,39.9485,-83.7459,6.0455681818181795
297,CBR,Nostocales,201807,152905.93143664763,21.126153846153844,26.998333333333335,0.2653846153846154,22.925806451612903,3.987096774193548,52829.37225806452,Ag,None,39.9485,-83.7459,5.872179487179491
298,CBR,Nostocales,201809,218199.93366101943,21.896315789473682,24.7575,2.1473684210526316,20.64333333333333,6.496666666666667,44783.44066666667,Ag,None,39.9485,-83.7459,2.861184210526318
299,CBR,Oscillatoriales,199206,143.736471861472,15.893333333333334,21.016666666666666,2.3133333333333335,19.016666666666666,2.0100000000000002,53863.10966666667,Ag,None,39.9485,-83.7459,5.123333333333331
300,CBR,Oscillatoriales,199207,516.4857486906084,19.655,23.85,2.605,22.516129032258064,5.793548387096774,52807.602258064515,Ag,None,39.9485,-83.7459,4.195
301,CBR,Oscillatoriales,199208,114.00107312495712,21.580000000000002,24.2625,3.34,20.138709677419353,1.525806451612903,49273.90806451612,Ag,None,39.9485,-83.7459,2.6824999999999974
302,CBR,Oscillatoriales,199209,108.506944444444,20.272000000000002,20.85,4.64,18.15666666666667,1.5766666666666667,44736.488666666664,Ag,None,39.9485,-83.7459,0.5779999999999994
303,CBR,Oscillatoriales,199306,1383.566,18.5,22.5375,3.3549999999999995,20.823333333333334,3.55,53858.12966666666,Ag,None,39.9485,-83.7459,4.037500000000001
304,CBR,Oscillatoriales,199307,18664.369,23.825,26.375,1.9100000000000001,24.212903225806453,2.674193548387097,52825.63354838709,Ag,None,39.9485,-83.7459,2.5500000000000007
305,CBR,Oscillatoriales,199308,6286.37575,22.78,25.5125,1.355,24.05806451612903,1.5548387096774194,49308.00451612904,Ag,None,39.9485,-83.7459,2.732499999999998
306,CBR,Oscillatoriales,199507,83.228840125,20.266666666666666,25.3,4.426666666666667,23.506451612903227,2.035483870967742,52865.12774193548,Ag,None,39.9485,-83.7459,5.033333333333335
307,CBR,Oscillatoriales,199508,7.886138614,22.736,27.51,4.5680000000000005,24.664516129032258,5.593548387096774,49372.60258064516,Ag,None,39.9485,-83.7459,4.774000000000001
308,CBR,Oscillatoriales,199509,21.27340824,22.38888888888889,24.175,6.188888888888888,17.636666666666667,0.9433333333333334,44850.15933333334,Ag,None,39.9485,-83.7459,1.7861111111111114
309,CBR,Oscillatoriales,200106,1.912,17.504761904761903,23.2125,3.2047619047619045,20.35,2.7,53858.587999999996,Ag,None,39.9485,-83.7459,5.707738095238096
310,CBR,Oscillatoriales,200206,2.561,20.150000000000002,23.9,4.120833333333333,22.15,3.1333333333333333,53854.127,Ag,None,39.9485,-83.7459,3.7499999999999964
311,CBR,Oscillatoriales,200207,10.938,23.099999999999998,26.6625,2.110526315789474,24.812903225806455,1.7580645161290323,52841.677741935484,Ag,None,39.9485,-83.7459,3.5625000000000036
312,CBR,Oscillatoriales,200306,67.0225,18.770833333333332,19.75,7.473333333333334,19.123333333333335,3.063333333333333,53850.490333333335,Ag,None,39.9485,-83.7459,0.9791666666666679
313,CBR,Oscillatoriales,200307,51.05166666666667,23.1125,25.03,2.7254166666666664,22.151612903225807,5.203225806451614,52861.61806451613,Ag,None,39.9485,-83.7459,1.9175000000000004
